code_metier;nom_inventaire;code_inventaire;nom_etablissement;adresse;code_postal;code_insee;nom_commune;code_departement;nom_departement;code_region;nom_region;etat_activite;nature_localisation;x_wgs84;y_wgs84;fiche_risque
SSP3891658;BASIAS;IDF9302604;;38 avenue FAIDHERBE;93260;93045;LES LILAS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;Site non gélocalisé;;;https://fiches-risques.brgm.fr/georisques/casias/SSP3891658
SSP3889729;BASIAS;IDF9300667;;34 rue MONTJOIE de la;93210;93066;SAINT DENIS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;Site non gélocalisé;;;https://fiches-risques.brgm.fr/georisques/casias/SSP3889729
SSP3889730;BASIAS;IDF9300668;;5 rue LANDY du;93210;93066;SAINT DENIS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;Site non gélocalisé;;;https://fiches-risques.brgm.fr/georisques/casias/SSP3889730
SSP3889731;BASIAS;IDF9300669;;7 rue LANDY du;93210;93066;SAINT DENIS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;Site non gélocalisé;;;https://fiches-risques.brgm.fr/georisques/casias/SSP3889731
SSP3889733;BASIAS;IDF9300671;;11 bis rue LANDY du;93210;93066;SAINT DENIS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;Site non gélocalisé;;;https://fiches-risques.brgm.fr/georisques/casias/SSP3889733
SSP3889734;BASIAS;IDF9300672;;25 rue LANDY du;93210;93066;SAINT DENIS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;Site non gélocalisé;;;https://fiches-risques.brgm.fr/georisques/casias/SSP3889734
SSP3889718;BASIAS;IDF9300656;;"33 Cours BENOIST,  actuel boulevard CARNOT";93210;93066;SAINT DENIS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;Site non gélocalisé;;;https://fiches-risques.brgm.fr/georisques/casias/SSP3889718
SSP3889744;BASIAS;IDF9300682;;3 route AUBERVILLIERS d';93210;93066;SAINT DENIS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;Site non gélocalisé;;;https://fiches-risques.brgm.fr/georisques/casias/SSP3889744
SSP3891662;BASIAS;IDF9302608;;25 avenue AVENIR de l';93260;93045;LES LILAS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;Site non gélocalisé;;;https://fiches-risques.brgm.fr/georisques/casias/SSP3891662
SSP3889758;BASIAS;IDF9300696;;8 rue MONTJOIE de la;93210;93066;SAINT DENIS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;Site non gélocalisé;;;https://fiches-risques.brgm.fr/georisques/casias/SSP3889758
SSP3889707;BASIAS;IDF9300645;;16 rue BRICHE de la;93210;93066;SAINT DENIS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;Site non gélocalisé;;;https://fiches-risques.brgm.fr/georisques/casias/SSP3889707
SSP3889708;BASIAS;IDF9300646;; rue MONTJOIE de la;93210;93066;SAINT DENIS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;Site non gélocalisé;;;https://fiches-risques.brgm.fr/georisques/casias/SSP3889708
SSP3889709;BASIAS;IDF9300647;;243 boulevard ORNANO;93210;93066;SAINT DENIS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;Site non gélocalisé;;;https://fiches-risques.brgm.fr/georisques/casias/SSP3889709
SSP3890051;BASIAS;IDF9300992;;10 rue ROSIERS des;93400;93070;SAINT OUEN;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;Site non gélocalisé;;;https://fiches-risques.brgm.fr/georisques/casias/SSP3890051
SSP3890052;BASIAS;IDF9300993;;" rue PORT du ; chemin des BOEUFS";93400;93070;SAINT OUEN;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;Site non gélocalisé;;;https://fiches-risques.brgm.fr/georisques/casias/SSP3890052
SSP3890053;BASIAS;IDF9300994;;82 rue REVOLTE de la;93400;93070;SAINT OUEN;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;Site non gélocalisé;;;https://fiches-risques.brgm.fr/georisques/casias/SSP3890053
SSP3890054;BASIAS;IDF9300995;;109 boulevard VICTOR HUGO;93400;93070;SAINT OUEN;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;Site non gélocalisé;;;https://fiches-risques.brgm.fr/georisques/casias/SSP3890054
SSP3890045;BASIAS;IDF9300986;; Quai SEINE de;93400;93070;SAINT OUEN;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;Site non gélocalisé;;;https://fiches-risques.brgm.fr/georisques/casias/SSP3890045
