code_metier;nom_etablissement;adresse;code_postal;code_insee;nom_commune;code_departement;nom_departement;code_region;nom_region;etat_activite;x_wgs84;y_wgs84;fiche_risque
SSP3889276;;14 rue BAILLY du;93210;93066;SAINT DENIS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;2.3565466;48.911713;https://fiches-risques.brgm.fr/georisques/casias/SSP3889276
SSP3889277;;"CORNILLON le; Les FOURCHES";93210;93066;SAINT DENIS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;2.3610659;48.91833;https://fiches-risques.brgm.fr/georisques/casias/SSP3889277
SSP3889278;;21 rue BAILLY du;93210;93066;SAINT DENIS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;2.3558922;48.912468;https://fiches-risques.brgm.fr/georisques/casias/SSP3889278
SSP3889279;;26 rue BAILLY du;93210;93066;SAINT DENIS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;2.3561378;48.9127;https://fiches-risques.brgm.fr/georisques/casias/SSP3889279
SSP3889280;;38 rue BAILLY du;93210;93066;SAINT DENIS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;Indéterminé;2.3561656;48.914158;https://fiches-risques.brgm.fr/georisques/casias/SSP3889280
SSP3889300;;rue MONTJOIE de la;93210;93066;SAINT DENIS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;2.3646772;48.9101;https://fiches-risques.brgm.fr/georisques/casias/SSP3889300
SSP3889301;;13 Chemin FILLETTES des;93210;93066;SAINT DENIS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;Indéterminé;2.365674;48.91161;https://fiches-risques.brgm.fr/georisques/casias/SSP3889301
SSP3889302;;15 rue FILLETTES des;93210;93066;SAINT DENIS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;2.3654559;48.91206;https://fiches-risques.brgm.fr/georisques/casias/SSP3889302
SSP3889303;;17 rue FILLETTES des;93210;93066;SAINT DENIS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;En arrêt;2.3653061;48.912422;https://fiches-risques.brgm.fr/georisques/casias/SSP3889303
SSP3889304;;19 rue FILLETTES des;93210;93066;SAINT DENIS;93;SEINE-SAINT-DENIS;11;ILE-DE-FRANCE;Indéterminé;2.3652108;48.91268;https://fiches-risques.brgm.fr/georisques/casias/SSP3889304
